evenement,description,impact_argent,impact_pollution,impact_bonheur
greve,Une grève affecte les services publics,-2000,0,-10
inondation,Une inondation détruit des habitations,-4000,+3,-5
canicule,Une vague de chaleur intense frappe la région,-1500,+5,-10
decouverte_scientifique,Une découverte scientifique majeure est annoncée,+5000,-3,+30
epidemie,Une épidémie se propage dans la population,-6000,0,-20
boom_economique,Un boom économique inattendu stimule l'économie,+12000,+3,+20
accident_nucleaire,Un accident nucléaire provoque une catastrophe environnementale,-15000,+30,-30
festival_international,Un festival international attire de nombreux touristes,+7000,0,+40
eruption_volcanique,Une éruption volcanique perturbe l'économie régionale,-6000,+10,-15
decouverte_gisement,Un nouveau gisement de ressources est découvert,+16000,+5,+25
pandémie_mondiale,Une pandémie mondiale paralyse l'économie,-20000,0,-40
conference_climat,Une conférence internationale sur le climat génère de l'espoir,+3000,-15,+35
cyberattaque,Une cyberattaque majeure affecte l'infrastructure,-5000,0,-10
revolution_technologique,Une révolution technologique transforme l'industrie,+13000,-3,+30
tremblement_terre,Un tremblement de terre cause des dommages importants,-15000,0,-25
accord_commercial,Un nouvel accord commercial est signé,+9000,0,+15
pollution_massive,Un événement de pollution massive impacte l'environnement,-3000,+20,-15
investissement_etranger,Un important investissement étranger arrive,+22000,-3,+20
mouvement_social,Un grand mouvement social émerge,-500,0,+25
secheresse,Une sécheresse prolongée affecte l'agriculture,-7000,+15,-20
decouverte_medicale,Une découverte médicale révolutionnaire est faite,+6000,-3,+45
krach_boursier,Un krach boursier secoue l'économie,-25000,0,-30
sommet_international,Un sommet international génère de la coopération,+4000,-5,+40
accident_industriel,Un grave accident industriel survient,-10000,+15,-10
revolution_energetique,Une révolution énergétique verte commence,+8000,-30,+35
cyclone,Un cyclone dévastateur frappe la région,-12000,+10,-25
innovation_technologique,Une innovation technologique majeure émerge,+12000,-3,+30
migration_massive,Un flux migratoire important survient,-4000,0,+15
guerre_commerciale,Une guerre commerciale éclate,-6000,0,-10
decouverte_spatiale,Une découverte spatiale inspire le monde,+7000,-3,+40
effondrement_ecosysteme,L'effondrement d'un écosystème crucial est constaté,-8000,+30,-40
renaissance_culturelle,Une renaissance culturelle dynamise la société,+5000,0,+50
accident_transport,Un grave accident de transport survient,-6000,+3,-15
boom_technologique,Un boom technologique stimule l'innovation,+17000,-5,+35
desastre_ecologique,Un désastre écologique majeur se produit,-18000,+40,-35
sommet_scientifique,Un sommet scientifique international a lieu,+6000,-10,+30
crise_alimentaire,Une crise alimentaire mondiale menace,-10000,+15,-25
decouverte_energie_propre,Une découverte dans l'énergie propre est faite,+10000,-25,+45
mouvement_democratique,Un grand mouvement démocratique émerge,+3000,0,+55
pic_petrole,Le pic pétrolier mondial est atteint,-5000,+20,-15
accord_paix,Un important accord de paix est signé,+4000,-3,+50
rupture_technologique,Une rupture technologique transforme l'industrie,+15000,-5,+40
tsunami,Un tsunami dévaste une région côtière,-20000,+5,-30
conference_technologique,Une conférence technologique majeure se tient,+8000,-3,+30
effondrement_monetaire,Un effondrement monétaire survient,-30000,0,-40
decouverte_medicamenteuse,Une découverte médicamenteuse révolutionnaire est faite,+9000,-3,+50
mouvement_environnemental,Un grand mouvement environnemental émerge,+5000,-20,+45
accident_minier,Un grave accident minier se produit,-9000,+15,-15
revolution_numerique,Une révolution numérique transforme la société,+13000,-3,+35
fonte_glaciers,La fonte accélérée des glaciers est constatée,-7000,+30,-25
conference_economique,Une conférence économique internationale a lieu,+6000,-3,+25
cyberrevolution,Une cyber-révolution bouleverse l'économie,+11000,0,+30
desastre_agricole,Un désastre agricole majeur survient,-13000,+20,-30
decouverte_biotechnologie,Une découverte en biotechnologie émerge,+8000,-5,+40
mouvement_social_mondial,Un mouvement social mondial se développe,+4000,0,+50
pic_ressources,Le pic de certaines ressources critiques est atteint,-6000,+20,-20
accord_climat,Un accord international sur le climat est signé,+7000,-25,+45
revolution_intelligente,Une révolution des systèmes intelligents commence,+16000,-10,+40
cyclone_tropical,Un cyclone tropical dévaste une région,-15000,+15,-35
innovation_medicale,Une innovation médicale majeure est développée,+12000,-3,+55
crise_migratoire,Une crise migratoire mondiale s'intensifie,-10000,+5,-25
sommet_energetique,Un sommet mondial sur l'énergie a lieu,+6000,-20,+35
effondrement_bancaire,Un effondrement bancaire majeur survient,-35000,0,-40
decouverte_spatiale_majeure,Une découverte spatiale majeure est faite,+10000,-5,+50
mouvement_resistance,Un grand mouvement de résistance émerge,+3000,0,+45
accident_nucleaire_mineur,Un accident nucléaire mineur se produit,-5000,+10,-15
boom_intelligence_artificielle,Un boom de l'intelligence artificielle commence,+19000,-3,+40
desastre_maritime,Un désastre maritime important survient,-12000,+20,-20
conference_paix,Une conférence internationale pour la paix se tient,+5000,-3,+55
crise_identitaire,Une crise identitaire mondiale,-5000,0,-20
decouverte_fusion,Une découverte sur la fusion nucléaire,+17000,-15,+60
mouvement_regeneration,Un mouvement de régénération globale,+7000,-25,+50
pic_carbone,Le pic d'émissions carbone est atteint,-9000,+30,-15
accord_regeneratif,Un accord de développement régénératif,+9000,-20,+45
// Nouvelles événements avec impact négatif sur le bonheur
fermeture_hopital,Fermeture d'un hôpital,-8000,0,-30,Vous avez fermé un hôpital
augmentation_taxes,Augmentation des taxes sur les biens,-5000,0,-20,Vous avez augmenté les taxes sur les biens
crise_financiere,Une crise financière mondiale survient,-15000,0,-35,Une crise financière mondiale a frappé
destruction_ecosysteme,Destruction d'un écosystème local,-10000,+50,-25,Un écosystème local a été détruit
conflit_social,Un conflit social majeur éclate,-6000,0,-15,Un conflit social majeur a éclaté
